4909110460081;Johannes ;Baale;888 TIJGER VILLAS OLD OAK ROAD BELLVILLE;7530;(039)-(774)-(3214);(043)-(177)-(4244);(024)-(500)-(6800);;
2605130248088;Letsoni ;Baepane;1088888 MOPEDI STREET SEBOKENG SONE 88B;1983;(078)-(529)-(2729);(084)-(569)-(0643);(081)-(584)-(8655);LetB@mailman.co.za;
2707050803087;Marc ;Baloyi;9 HAARHOF STREET NEW PARK;8301;(047)-(916)-(0130);(076)-(570)-(4161);(088)-(221)-(7304);;2
4511070585086;Mcebisi ;Baloyi;31 BIRD STREET 4 SILVERTONHILL PORT ELIZABETH;6001;(095)-(979)-(3460);(061)-(687)-(5206);(039)-(276)-(1991);;2
3212110757087;Navisha;Baloyi;UNIT 40, LITTLE MANHATTEN V PRETORIA WEST;0183;(095)-(228)-(6921);(064)-(897)-(8331);(070)-(491)-(1699);NBaloyi@privatemail.co.za;2
5109040274081;Nthabiseng ;Banga;30 NIKKEL STREET 8848 SILVERSTONE COUNTRY ESTA MONAVONI;0157;(045)-(111)-(1629);(015)-(228)-(5436);(022)-(168)-(1266);NthBan@myweb.co.za;
7205120917082;Richard ;Banga;UNIT 188 COUNTRY LIFE PARK 39 WITNEY STREET BRYANSTON;2191;(071)-(497)-(1338);(078)-(167)-(3492);(033)-(900)-(5511);B@mememail.org.za';2
3410210326084;Seturumane ;Banza;1 TINUS DE JONGH ROAD UNIT 1 GLEN MARAIS VIEW BIRCHLEIGH EXT 1;1618;(055)-(737)-(3275);(079)-(236)-(8345);(051)-(263)-(1955);SeBa@privatemail.co.za;
4510260369082;Nomvula ;Baulraj;HOUSE 31 - 18804 1 CARNATION CRESCENT EBONY PARK EXT 1;1632;(057)-(225)-(3056);(020)-(496)-(7366);(022)-(944)-(3343);NomvBa@privatemail.co.za;2
2804220399085;Tsholofelo ;Benjamin;94 BEYERS STREET KRUGERSDORP WEST;1739;(069)-(642)-(6052);(024)-(785)-(8235);(098)-(916)-(2699);TsholBenja@mailman.co.za;2
9811220178083;Hulisani ;Bethlehem;UNIT 3 ELDRID MANOR JAN BANTJIES STREET MONTANA;0182;(045)-(805)-(7907);(021)-(676)-(2572);(091)-(247)-(8904);;
5711110485087;Vusi ;Bethlehem;303 JANFE SUNNYSIDE;0002;(047)-(601)-(8014);(027)-(911)-(9283);(094)-(887)-(0945);VuBeth@mailweb.org;2
7412210788083;Botshelo;Bhagwan;884 POTTOS STREET WESTERNBURG POLOKWANE;0699;(083)-(158)-(1537);;(071)-(836)-(5216);;
8008280468086;Sylvester ;Bhana;11 FROST AVENUE AUCKLAND PARK;2092;(023)-(581)-(6674);(057)-(923)-(3664);(026)-(755)-(5182);SyB@mememail.org.za';2
6810160795088;Precious ;Bodenstein;13 JOHN BAILIE ROAD BUNKERS HILL;5241;(067)-(526)-(9343);(051)-(139)-(3804);(067)-(650)-(6172);PB@themail.com;3
1908150375082;Cliff;Bomela;UNIT 1 MAJESTIC TOWERS 40 EMPIRE ROAD PARKTOWN;2193;;(029)-(565)-(6703);(046)-(976)-(2408);CliBomela@themail.com;2
4504280921086;Rodger ;Bomela;19131 SECTION M pretoria MAMELODI WEST;0122;(051)-(596)-(1096);(037)-(128)-(7714);(068)-(632)-(8048);RBo@mailweb.org;
4204250189082;Byron ;Booysen;88 STOCKTON ROAD BEREA;5241;(072)-(367)-(8364);;(084)-(179)-(0812);Booy@mailweb.org;2
4004220578084;Matthew ;Booysen;10 MIDSOMER CRESCENT SOMERSET PARK;4319;(039)-(370)-(8432);(033)-(143)-(3745);(037)-(166)-(5231);MatthBo@mailweb.org;1
950310057086;Njabulo ;Bouwer;56541 MTSISELWA STREET KWAZAKHELE;6205;(021)-(629)-(1008);(010)-(844)-(7197);(078)-(213)-(5281);;1
5001070584088;Linda;Brook;1388 FLOWERS STR CAPITAL PARK;0084;(025)-(119)-(3729);(035)-(668)-(7713);(019)-(913)-(8638);LindaBrook@mailman.co.za;2
2711130236088;Sango;Brown;38801 PIKES PEAK PLACE LENASIA SOUTH EXT 4;1829;(054)-(537)-(0684);(071)-(819)-(0681);(020)-(836)-(2141);;2
7212170290085;Daniel ;Buissinne;40 EDGECLIFF DRIVE KLOOF;3610;;(063)-(565)-(0385);(042)-(860)-(9046);DaniB@myweb.co.za;5
82032206087;Wouter;Burger;11883 SECTION D MAMELODI WEST;0122;(085)-(927)-(1284);(087)-(284)-(9774);(062)-(400)-(2276);WoBurge@myweb.co.za;2
